,GPS导航,city,depre,miles,y,years,上牌城市,上牌时间,主副驾驶安全气囊,事故排查,仪表台指示灯,供油方式,倒车影像系统,倒车雷达,儿童座椅接口,全景天窗,公里数,内部配置,前制动类型,前后排侧气囊,前后排头部气囊,前后排座椅加热,前后电动车窗,前悬挂类型,前轮胎规格,助力类型,卖家报价(万),厂商,发动机,发动机状态,变速箱1,变速箱及转向,变速箱详情,后制动类型,后悬挂类型,后视镜加热,后视镜电动调节,后视镜电动调节.1,后轮胎规格,外观件更换检测,外部配置,多功能方向盘,安全系统,定速巡航,底盘悬架项,总车型,感应后备箱,感应雨刷,排放标准,排放标准.1,排量,整备质量,新车指导价(万),无钥匙启动系统,最大扭矩,最大马力,服务费,机舱项,款式年份,气缸,泡水排查,漆面修复检测,火烧排查,灯光系统,燃料类型,燃油标号,电动吸合门,电动天窗,真皮座椅,空调,级别,缺陷项检测,胎压检测,自动空调,行李容积,车内中控锁,车型1,车身稳定控制,车身结构,轴承,进气形式,钣金修复检测,长宽高,防抱死系统,随车工具,驱动方式,驻车制动类型,高科技配置
565,标配,ty,0.566371681416,8.16,0.267062785249,2.58333333333,太原,2014-11,正常/正常,0.0,0.0,多点电喷,标配,标配,标配,无,8.16万公里,0.0,通风盘式,无/无,无/无,标配/无,标配,麦弗逊式独立悬架,235/55 R18,电动助力,6.4,长城汽车,1.5T 150马力 L4,0.0,手动,0.0,6档手动变速箱(MT),盘式,多连杆独立悬架,标配,标配/标配,标配,235/55 R18,0.0,0.0,标配,0.0,标配,0.0,哈弗H2 2014款 1.5T 手动两驱精英版,无,标配,国四,国四,1.5,1495,11.3,标配,210,150.0,3500元（车价x4%，最低3500元） ,0.0,2014款,L4,0.0,0.0,0.0,0.0,汽油,92号,无,无,无,标配,小型SUV,7.0,标配,无,-,标配,哈弗H2,无,5门5座SUV,2560,涡轮增压,0.0,4335/1814/1695,标配,0.0,-,-,0.0
566,加装,xa,0.517272727273,14.64,0.0691184128844,4.83333333333,咸阳,2012-08,正常/正常,0.0,0.0,多点电喷,加装,标配,标配,无,14.64万公里,0.0,通风盘式,正常/无,无/无,标配/无,无,双横臂式独立悬架,215/60 R16,机械液压助力,11.38,广汽本田,2.0L 156马力 L4,1.0,自动,0.0,5档自动变速箱(AT),盘式,多连杆独立悬架,标配,标配/标配,标配,215/60 R16,2.0,0.0,标配,0.0,标配,0.0,本田雅阁 2012款 2.0L SE,无,无,国四,国四,2.0,1510,22.0,无,189,156.0,4552元（车价x4%，最低3500元） ,0.0,2012款,L4,0.0,4.0,0.0,0.0,汽油,92号,无,标配,标配,标配,中型车,3.0,无,标配,-,标配,本田雅阁,无,4门5座三厢车,2800,自然吸气,3.0,4960/1845/1480,标配,0.0,,-,0.0
567,无,xa,0.680952380952,7.5,0.758152010869,2.25,西安,2015-03,正常/正常,0.0,0.0,多点电喷,无,无,标配,无,7.5万公里,0.0,通风盘式,正常/正常,正常/正常,标配/无,无,麦弗逊式独立悬架,215/60 R16,机械液压助力,14.3,广汽丰田,2.0L 147马力 L4,0.0,自动,0.0,4档自动变速箱(AT),盘式,双连杆独立悬架,标配,标配/标配,标配,215/60 R16,0.0,0.0,标配,0.0,无,0.0,丰田凯美瑞 2013款 200G 经典豪华版,无,无,国四,国四,2.0,1520,21.0,无,190,147.0,5720元（车价x4%，最低3500元） ,0.0,2013款,L4,0.0,1.0,0.0,0.0,汽油,95号,无,标配,标配,标配,中型车,0.0,无,标配,504,标配,丰田凯美瑞,无,4门5座三厢车,2775,自然吸气,0.0,4825/1820/1485,标配,0.0,,-,0.0
568,标配,xa,0.589928057554,7.6,0.36366797943,2.33333333333,渭南,2015-02,正常/正常,0.0,0.0,多点电喷,标配,标配,标配,无,7.6万公里,0.0,通风盘式,正常/无,无/无,无/无,无,麦弗逊式独立悬架,215/45 R17,电动助力,8.2,北京现代,1.6L 128马力 L4,0.0,自动,0.0,6档手自一体变速箱(AT),盘式,扭力梁式非独立悬架,标配,标配/标配,标配,215/45 R17,0.0,0.0,无,0.0,无,0.0,现代朗动 2015款 1.6L 自动领先型,无,无,国四,国四,1.6,1267,13.9,标配,156,128.0,3500元（车价x4%，最低3500元） ,0.0,2015款,L4,0.0,0.0,0.0,0.0,汽油,92号,无,标配,无,标配,紧凑型车,0.0,无,无,473,标配,现代朗动,无,4门5座三厢车,2700,自然吸气,0.0,4570/1775/1445,标配,0.0,,-,0.0
569,无,xa,0.685393258427,10.29,0.778669353998,2.41666666667,咸阳,2015-01,无/无,0.0,0.0,多点电喷,无,无,无,无,10.29万公里,0.0,通风盘式,无/无,无/无,无/无,无,双横臂独立悬挂,205/70 R15,液压助力,6.1,福田汽车,2.0L 129马力 L4,0.0,手动,0.0,5档手动变速箱(MT),鼓式,纵置钢板弹簧,无,标配/无,无,205/70 R15,0.0,0.0,无,0.0,无,0.0,福田蒙派克E 2014款 2.0L财富快车经典版简配4Gi-VVT,无,无,国四,国四,2.0,-,8.9,无,186,129.0,3500元（车价x4%，最低3500元） ,1.0,2014款,L4,0.0,0.0,0.0,0.0,汽油,92号,无,无,无,标配,轻客,4.0,无,无,-,无,福田蒙派克E,无,客车,3430,自然吸气,0.0,5235/1825/2030,无,0.0,,-,0.0
570,标配,xa,0.728155339806,4.16,0.985283603361,1.16666666667,咸阳,2016-04,正常/正常,0.0,0.0,多点电喷,无,标配,标配,无,4.16万公里,0.0,通风盘式,无/无,无/无,无/无,标配,麦弗逊式独立悬架,225/65 R17,机械液压助力,7.5,长城汽车,1.5T 150马力 L4,0.0,手动,0.0,6档手动变速箱(MT),盘式,双横臂式独立悬架,标配,标配/标配,标配,225/65 R17,0.0,0.0,无,0.0,无,0.0,哈弗H6 2016款 升级版 1.5T 手动两驱都市型,无,无,国四,国四,1.5,1541,10.3,标配,210,150.0,3500元（车价x4%，最低3500元） ,0.0,2016款,L4,0.0,4.0,0.0,0.0,汽油,92号,无,无,无,标配,紧凑型SUV,1.0,无,无,808-20,标配,哈弗H6,标配,5门5座SUV,2680,涡轮增压,0.0,4640/1825/1690,标配,0.0,-,-,0.0
571,无,xa,0.508609271523,12.19,0.0344404899803,3.58333333333,西安,2013-11,正常/正常,0.0,0.0,多点电喷,无,无,标配,无,12.19万公里,0.0,通风盘式,正常/正常,正常/正常,无/无,无,麦弗逊式独立悬架,205/55 R16,电动助力,7.68,广汽菲克菲亚特,1.4T 120马力 L4,0.0,自动,0.0,6档双离合变速箱(DCT),盘式,扭力梁式非独立悬架,无,标配/标配,标配,205/55 R16,1.0,0.0,标配,0.0,无,0.0,菲亚特菲翔 2012款 1.4T 自动劲享版,无,无,国四,国四,1.4,1490,15.1,无,206,120.0,3500元（车价x4%，最低3500元） ,0.0,2012款,L4,0.0,8.0,0.0,0.0,汽油,92号,无,标配,标配,标配,紧凑型车,0.0,无,无,470,标配,菲亚特菲翔,标配,4门5座三厢车,2708,涡轮增压,1.0,4679/1850/1471,标配,0.0,,-,0.0
572,无,xa,0.689075630252,3.2,0.79580133462,1.0,咸阳,2016-06,正常/正常,0.0,0.0,多点电喷,无,标配,标配,无,3.2万公里,0.0,通风盘式,无/无,无/无,无/无,无,麦弗逊式独立悬架,205/60 R16,电动助力,8.2,上汽通用雪佛兰,1.5L 113马力 L4,0.0,自动,0.0,6档手自一体变速箱(AT),盘式,扭力梁式非独立悬架,无,标配/标配,标配,205/60 R16,0.0,0.0,无,0.0,无,0.0,雪佛兰科鲁兹 2015款 1.5L 经典 SE AT,无,无,国四,国四,1.5,1360,11.9,无,141,113.0,3500元（车价x4%，最低3500元） ,0.0,2015款,L4,0.0,0.0,0.0,0.0,汽油,92号,无,标配,无,标配,紧凑型车,1.0,无,无,461,标配,雪佛兰科鲁兹,无,4门5座三厢车,2685,自然吸气,0.0,4643/1797/1479,标配,0.0,,-,0.0
573,无,xa,0.6,8.5,0.405465108108,1.25,咸阳,2016-03,正常/正常,0.0,0.0,多点电喷,无,标配,标配,标配,8.5万公里,0.0,通风盘式,正常/无,无/无,无/无,无,麦弗逊式独立悬架,205/55 R16,电动助力,9.9,上汽斯柯达,1.6L 110马力 L4,0.0,自动,0.0,6档手自一体变速箱(AT),盘式,扭力梁式非独立悬架,标配,标配/标配,标配,205/55 R16,0.0,0.0,标配,0.0,标配,0.0,斯柯达明锐 2016款 1.6L 自动智行版,无,无,国五,国五,1.6,1250,16.5,无,155,110.0,3960元（车价x4%，最低3500元） ,0.0,2016款,L4,0.0,1.0,0.0,0.0,汽油,92号,无,标配,标配,标配,紧凑型车,0.0,标配,无,590-15,标配,斯柯达明锐,标配,5门5座掀背车,2686,自然吸气,1.0,4659/1814/1460,标配,0.0,,-,0.0
574,标配,xa,0.677725118483,6.9,0.743336925084,2.08333333333,西安,2015-05,正常/正常,0.0,0.0,直喷,标配,标配,标配,标配,6.9万公里,0.0,通风盘式,正常/无,正常/正常,标配/无,无,麦弗逊式独立悬架,215/55 R17,电动助力,14.3,北京现代,1.6T 180马力 L4,0.0,自动,0.0,7档双离合变速箱(DCT),盘式,多连杆独立悬架,标配,标配/标配,标配,215/55 R17,0.0,0.0,标配,0.0,标配,0.0,现代索纳塔九 2015款 1.6T GLS智能型,无,无,国四,国四,1.6,1500,21.1,标配,265,180.0,5720元（车价x4%，最低3500元） ,0.0,2015款,L4,0.0,0.0,0.0,0.0,汽油,92号,无,标配,标配,标配,中型车,0.0,无,标配,510,标配,现代索纳塔九,标配,4门5座三厢车,2805,涡轮增压,4.0,4855/1865/1485,标配,0.0,,-,0.0
575,无,xa,0.696629213483,3.3,0.831297519041,1.0,西安,2016-06,正常/正常,0.0,0.0,多点电喷,无,无,标配,无,3.3万公里,0.0,通风盘式,无/无,无/无,无/无,无,双横臂式独立悬架带横向稳定杆,205/60 R16,电动助力,6.2,一汽奔腾,1.6L 109马力 L4,0.0,手动,0.0,5档手动变速箱(MT),盘式,多连杆独立悬架,无,标配/标配,标配,205/60 R16,0.0,0.0,无,0.0,无,0.0,奔腾B50 2016款 1.6L 手动技术型,无,无,国五,国五,1.6,1365,8.9,无,155,109.0,3500元（车价x4%，最低3500元） ,0.0,2016款,L4,0.0,0.0,0.0,0.0,汽油,92号,无,无,无,标配,紧凑型车,0.0,无,无,435,标配,奔腾B50,无,4门5座三厢车,2725,自然吸气,0.0,4695/1795/1460,标配,0.0,,-,0.0
576,加装,xa,0.667206477733,4.78,0.695577315413,1.58333333333,西安,2015-11,正常/正常,0.0,0.0,直喷,加装,标配,标配,标配,4.78万公里,0.0,通风盘式,正常/无,正常/正常,无/无,标配,麦弗逊式独立悬架,205/55 R16,电动助力,16.48,一汽-大众奥迪,1.4T 150马力 L4,0.0,自动,0.0,7档双离合变速箱(DCT),盘式,多连杆独立悬架,无,标配/标配,标配,205/55 R16,0.0,0.0,标配,0.0,加装,0.0,奥迪A3 2015款 Sportback 35 TFSI 百万纪念智领型,无,无,国四,国四,1.4,1340,24.7,无,250,150.0,6592元（车价x4%，最低3500元） ,0.0,2015款,L4,0.0,4.0,0.0,0.0,汽油,95号,无,标配,加装,标配,紧凑型车,3.0,无,加装,380-12,标配,奥迪A3,标配,5门5座两厢车,2629,涡轮增压,3.0,4319/1785/1441,标配,0.0,,-,0.0
577,无,xa,0.394736842105,14.43,-0.427444014827,3.91666666667,西安,2013-07,正常/正常,0.0,0.0,多点电喷,无,标配,无,无,14.43万公里,0.0,通风盘式,无/无,无/无,无/无,标配,麦弗逊式独立悬架,205/55 R16,机械液压助力,3.0,江淮汽车,1.5L 113马力 L4,0.0,手动,0.0,5档手动变速箱(MT),盘式,双连杆独立悬架,无,标配/标配,标配,205/55 R16,0.0,0.0,无,0.0,无,0.0,江淮瑞风M2 2012款 1.5L MT宜家豪华版,无,无,国四,国四,1.5,1395,7.6,无,146,113.0,3000元（车价x4%，最低3000元） ,0.0,2012款,L4,0.0,2.0,0.0,0.0,汽油,92号,无,无,无,标配,MPV,0.0,无,无,630-21,标配,江淮瑞风M2,无,5门5座MPV,2710,自然吸气,5.0,4550/1775/1600,标配,0.0,,-,0.0
578,标配,xa,0.594326241135,8.1,0.381879109102,2.08333333333,西安,2015-05,正常/正常,0.0,0.0,直喷,标配,标配,标配,无,8.1万公里,0.0,通风盘式,正常/正常,正常/正常,无/无,标配,麦弗逊式独立悬架,235/55 R18,机械液压助力,8.38,比亚迪,2.0T 205马力 L4,0.0,自动,0.0,6档双离合变速箱(DCT),盘式,多连杆独立悬架,标配,标配/标配,标配,235/55 R18,0.0,0.0,标配,0.0,标配,0.0,比亚迪S7 2015款 2.0T 升级版 自动尊贵型,无,无,国四,国四,2.0,1750,14.1,标配,320,205.0,3500元（车价x4%，最低3500元） ,0.0,2015款,L4,0.0,7.0,0.0,0.0,汽油,92号,无,标配,无,标配,中型SUV,0.0,标配,标配,365-23,标配,比亚迪S7,标配,5门7座SUV,2730,涡轮增压,2.0,4835/1855/1720,标配,0.0,,-,0.0
579,标配,xa,0.803448275862,4.29,1.40798718573,1.16666666667,西安,2016-04,正常/正常,0.0,0.0,直喷,标配,标配,标配,无,4.29万公里,0.0,通风盘式,正常/无,正常/正常,无/无,无,麦弗逊式独立悬架,215/45 R18,电动助力,13.98,长安马自达,2.0L 158马力 L4,0.0,自动,0.0,6档手自一体变速箱(AT),盘式,多连杆独立悬架,标配,标配/标配,标配,215/45 R18,0.0,0.0,标配,0.0,标配,0.0,马自达昂科赛拉 2016款 三厢 2.0L 自动旗舰型,无,无,国四,国四,2.0,1364,17.4,标配,202,158.0,5592元（车价x4%，最低3500元） ,0.0,2016款,L4,0.0,0.0,0.0,0.0,汽油,92号,无,标配,标配,标配,紧凑型车,2.0,无,标配,419,标配,马自达昂科赛拉,标配,4门5座三厢车,2700,自然吸气,0.0,4582/1795/1458,标配,0.0,,-,0.0
580,无,xa,0.653781512605,6.23,0.635703174829,1.75,西安,2015-09,正常/正常,0.0,0.0,多点电喷,无,标配,标配,无,6.23万公里,0.0,通风盘式,无/无,无/无,无/无,无,麦弗逊式独立悬架,195/65 R15,电动助力,7.78,上汽大众,1.6L 110马力 L4,0.0,手动,0.0,5档手动变速箱(MT),盘式,扭力梁式非独立悬架,标配,标配/标配,标配,195/65 R15,0.0,0.0,无,0.0,无,0.0,大众朗逸 2015款 1.6L 手动风尚版,无,无,国四,国四,1.6,1210,11.9,无,155,110.0,3500元（车价x4%，最低3500元） ,0.0,2015款,L4,0.0,13.0,0.0,0.0,汽油,92号,无,无,加装,标配,紧凑型车,2.0,标配,无,478,标配,大众朗逸,标配,4门5座三厢车,2610,自然吸气,0.0,4605/1765/1460,标配,0.0,,-,0.0
581,标配,xa,0.566037735849,10.4,0.265703165733,2.75,西安,2014-09,无/无,0.0,0.0,多点电喷,标配,无,无,无,10.4万公里,0.0,盘式,无/无,无/无,无/无,无,麦弗逊式独立悬架,165/65 R13,电动助力,3.0,昌河铃木,1.4L 97马力 L4,0.0,手动,0.0,5档手动变速箱(MT),盘式,非独立单纵摆臂式,无,标配/标配,标配,165/65 R13,0.0,0.0,无,0.0,无,0.0,铃木北斗星 2013款 全能升级版 1.4L 手动标准型1,无,无,国四,国四,1.4,900,5.3,无,120,97.0,3000元（车价x4%，最低3000元） ,0.0,2013款,L4,0.0,0.0,0.0,0.0,汽油,92号,无,无,无,标配,微型车,5.0,无,无,633-13,标配,铃木北斗星,无,5门5座两厢车,2335,自然吸气,0.0,3400/1575/1705,标配,0.0,,-,0.0
582,无,xa,0.445945945946,7.1,-0.217064505238,2.33333333333,西安,2015-02,无/无,0.0,0.0,多点电喷,无,无,无,无,7.1万公里,0.0,盘式,无/无,无/无,无/无,无,麦弗逊式独立悬挂,165 R13LT,无助力,1.65,长安汽车,1.0L 69马力 L4,0.0,手动,0.0,5档手动变速箱(MT),鼓式,钢板弹簧非独立悬架,无,无/无,无,165 R13LT,1.0,0.0,无,0.0,无,0.0,长安商用长安之星2 2012款 1.0L基本型JL466Q9,无,无,国四,国四,1.0,-,3.7,无,92,69.0,3000元（车价x4%，最低3000元） ,0.0,2012款,L4,0.0,0.0,0.0,0.0,汽油,92号,无,无,无,无,微面,3.0,无,无,-,无,长安商用长安之星2,无,客车,2500,自然吸气,1.0,3860/1580/1900,无,0.0,,-,0.0
583,标配,xa,0.54609929078,9.1,0.184922338494,2.25,西安,2015-03,正常/正常,0.0,0.0,直喷,标配,标配,标配,无,9.1万公里,0.0,通风盘式,正常/无,正常/正常,无/无,标配,麦弗逊式独立悬架,235/55 R18,机械液压助力,7.7,比亚迪,2.0T 205马力 L4,0.0,自动,0.0,6档双离合变速箱(DCT),盘式,多连杆独立悬架,标配,标配/标配,标配,235/55 R18,1.0,0.0,标配,0.0,标配,0.0,比亚迪S7 2015款 2.0T 自动尊贵型,无,无,国四,国四,2.0,1750,14.1,标配,320,205.0,3500元（车价x4%，最低3500元） ,0.0,2015款,L4,0.0,1.0,0.0,0.0,汽油,92号,无,标配,无,标配,中型SUV,1.0,标配,标配,365-23,标配,比亚迪S7,标配,5门7座SUV,2730,涡轮增压,1.0,4835/1855/1720,标配,0.0,,-,0.0
584,无,xa,0.611111111111,11.2,0.451985123743,3.66666666667,西安,2013-10,正常/正常,0.0,0.0,多点电喷,无,无,标配,无,11.2万公里,0.0,通风盘式,无/无,无/无,无/无,无,麦弗逊式独立悬架,175/70 R14,电动助力,5.5,一汽-大众,1.4L 90马力 L4,0.0,手动,0.0,5档手动变速箱(MT),鼓式,复合扭力梁式非独立悬架,无,标配/标配,无,175/70 R14,1.0,0.0,无,0.0,无,0.0,大众捷达 2013款 1.4L 手动时尚型,无,无,国四,国四,1.4,1120,9.0,无,132,90.0,3500元（车价x4%，最低3500元） ,0.0,2013款,L4,0.0,9.0,0.0,0.0,汽油,92号,无,无,无,标配,紧凑型车,3.0,无,无,466,标配,大众捷达,无,4门5座三厢车,2603,自然吸气,1.0,4487/1706/1470,标配,0.0,,-,0.0
585,无,xa,0.831325301205,7.42,1.59504917498,2.41666666667,西安,2015-01,正常/正常,0.0,0.0,直喷,无,标配,标配,无,7.42万公里,0.0,通风盘式,无/无,无/无,无/无,标配,双横臂螺旋弹簧独立悬架,265/65 R17,机械液压助力,13.8,江铃汽车,2.4T 140马力 L4,0.0,自动,0.0,6档手自一体变速箱(AT),盘式,五连杆式非独立悬架,无,标配/标配,标配,265/65 R17,0.0,0.0,标配,0.0,标配,0.0,江铃驭胜S350 2014款 2.4T 自动两驱柴油豪华天窗版5座,无,无,国四,国四,2.4,1915,16.6,标配,375,140.0,5520元（车价x4%，最低3500元） ,0.0,2014款,L4,0.0,0.0,0.0,0.0,柴油,0号,无,标配,标配,标配,中型SUV,4.0,无,无,-,标配,江铃驭胜S350,标配,5门5座SUV,2750,涡轮增压,1.0,4775/1895/1862,标配,0.0,-,-,0.0
586,无,xa,0.634020618557,7.2,0.549504478331,2.16666666667,西安,2015-04,正常/正常,0.0,0.0,多点电喷,无,标配,标配,无,7.2万公里,0.0,通风盘式,无/无,无/无,无/无,标配,麦弗逊式独立悬架,215/70 R16,电动助力,12.3,东风悦达起亚,2.0L 165马力 L4,0.0,自动,0.0,6档手自一体变速箱(AT),盘式,多连杆独立悬架,无,标配/标配,标配,215/70 R16,0.0,0.0,标配,0.0,无,0.0,起亚智跑 2014款 2.0L 自动两驱版GL,无,无,国四,国四,2.0,1423,19.4,无,199,165.0,4920元（车价x4%，最低3500元） ,0.0,2014款,L4,0.0,0.0,0.0,0.0,汽油,92号,无,标配,无,标配,紧凑型SUV,0.0,无,无,-,标配,起亚智跑,无,5门5座SUV,2640,自然吸气,1.0,4440/1855/1635,标配,0.0,-,-,0.0
587,无,xa,0.635757575758,4.95,0.556997673861,1.41666666667,西安,2016-01,正常/正常,0.0,0.0,多点电喷,无,标配,标配,标配,4.95万公里,0.0,通风盘式,正常/无,无/无,无/无,无,麦弗逊式独立悬架,205/55 R16,电动助力,10.49,上汽斯柯达,1.6L 110马力 L4,0.0,自动,0.0,6档手自一体变速箱(AT),盘式,扭力梁式非独立悬架,标配,标配/标配,标配,205/55 R16,0.0,0.0,标配,0.0,标配,0.0,斯柯达明锐 2016款 1.6L 自动智行版,无,无,国五,国五,1.6,1250,16.5,无,155,110.0,4196元（车价x4%，最低3500元） ,0.0,2016款,L4,0.0,0.0,0.0,0.0,汽油,92号,无,标配,标配,标配,紧凑型车,3.0,标配,无,590-15,标配,斯柯达明锐,标配,5门5座掀背车,2686,自然吸气,0.0,4659/1814/1460,标配,0.0,,-,0.0
588,无,xa,0.690594059406,7.3,0.802898044519,1.83333333333,西安,2015-08,正常/正常,0.0,0.0,多点电喷,标配,无,标配,无,7.3万公里,0.0,通风盘式,正常/无,正常/正常,无/无,无,麦弗逊式独立悬架,215/60 R16,电子液压助力,13.95,东风日产,2.0L 141马力 L4,0.0,自动,0.0,无级变速档无级变速箱(CVT),盘式,梯形控制臂独立后悬挂,标配,标配/标配,标配,215/60 R16,0.0,0.0,标配,0.0,无,0.0,日产天籁 2013款 2.0L XL舒适版,无,无,国四,国四,2.0,1458,20.2,标配,190,141.0,5580元（车价x4%，最低3500元） ,0.0,2013款,L4,0.0,5.0,0.0,0.0,汽油,92号,无,标配,无,标配,中型车,1.0,无,标配,516,标配,日产天籁,标配,4门5座三厢车,2775,自然吸气,1.0,4868/1830/1490,标配,0.0,,-,0.0
589,无,xa,0.592307692308,8.3,0.373513508302,2.5,西安,2014-12,正常/正常,0.0,0.0,多点电喷,无,标配,标配,无,8.3万公里,0.0,通风盘式,正常/无,正常/正常,无/无,标配,麦弗逊式独立悬架,205/60 R16,电动助力,7.7,长安铃木,1.6L 122马力 L4,0.0,自动,0.0,7档无级变速箱(CVT),盘式,纵臂扭转力式非独立悬架,标配,标配/标配,标配,205/60 R16,0.0,0.0,标配,0.0,无,0.0,铃木锋驭 2014款 1.6L CVT两驱进取型,无,无,国四,国四,1.6,1170,13.0,标配,158,122.0,3500元（车价x4%，最低3500元） ,0.0,2014款,L4,0.0,1.0,0.0,0.0,汽油,92号,无,无,无,标配,小型SUV,1.0,无,无,-,标配,铃木锋驭,标配,5门5座SUV,2600,自然吸气,1.0,4300/1765/1585,标配,0.0,-,-,0.0
590,无,xa,0.576036866359,6.8,0.306525160253,2.08333333333,西安,2015-05,正常/正常,0.0,0.0,多点电喷,无,标配,标配,标配,6.8万公里,0.0,通风盘式,正常/无,无/无,标配/无,无,麦弗逊式独立悬架,215/55 R17,电动助力,12.5,北京现代,2.4L 180马力 L4,0.0,自动,0.0,6档手自一体变速箱(AT),盘式,多连杆独立悬架,标配,标配/标配,标配,215/55 R17,0.0,0.0,标配,0.0,无,0.0,现代索纳塔八 2013款 2.4L 自动领先版 国IV,无,无,国四,国四,2.4,1518,21.7,标配,231,180.0,5000元（车价x4%，最低3500元） ,0.0,2013款,L4,0.0,6.0,0.0,0.0,汽油,92号,无,标配,标配,标配,中型车,1.0,标配,标配,523,标配,现代索纳塔八,标配,4门5座三厢车,2795,自然吸气,1.0,4820/1835/1475,标配,0.0,,-,0.0
591,无,xa,0.719696969697,6.97,0.942958978956,2.08333333333,西安,2015-05,正常/正常,0.0,0.0,多点电喷,无,标配,标配,无,6.97万公里,0.0,通风盘式,无/无,无/无,无/无,无,麦弗逊式独立悬架,195/65 R15,电动助力,9.5,上汽大众,1.6L 110马力 L4,0.0,自动,0.0,6档手自一体变速箱(AT),盘式,扭力梁式非独立悬架,标配,标配/标配,标配,195/65 R15,0.0,0.0,无,0.0,无,0.0,大众朗逸 2015款 1.6L 自动风尚版,无,无,国四,国四,1.6,1245,13.2,无,155,110.0,3800元（车价x4%，最低3500元） ,0.0,2015款,L4,0.0,4.0,0.0,0.0,汽油,92号,无,无,无,标配,紧凑型车,0.0,标配,无,478,标配,大众朗逸,标配,4门5座三厢车,2610,自然吸气,1.0,4605/1765/1460,标配,0.0,,-,0.0
592,无,xa,0.578313253012,6.4,0.315852949418,1.91666666667,西安,2015-07,正常/正常,0.0,0.0,多点电喷,无,无,标配,无,6.4万公里,0.0,通风盘式,无/无,无/无,无/无,标配,麦弗逊式独立悬架+横向稳定杆,185/65 R15,电动助力,4.8,东风启辰,1.6L 117马力 L4,0.0,手动,0.0,5档手动变速箱(MT),鼓式,带稳定杆扭力梁式后悬架,无,标配/标配,标配,185/65 R15,0.0,0.0,标配,0.0,无,0.0,启辰R50 2015款 1.6L 手动豪华版,无,无,国四,国四,1.6,1128,8.3,无,153,117.0,3500元（车价x4%，最低3500元） ,0.0,2015款,L4,0.0,3.0,0.0,0.0,汽油,92号,无,标配,无,标配,紧凑型车,1.0,无,无,317,标配,启辰R50,无,5门5座两厢车,2600,自然吸气,1.0,4280/1695/1535,标配,0.0,,-,0.0
593,无,xa,0.609195402299,5.8,0.443931388936,1.83333333333,西安,2015-08,正常/正常,0.0,0.0,多点电喷,无,标配,标配,无,5.8万公里,0.0,通风盘式,无/无,无/无,无/无,标配,麦弗逊式独立悬架,175/70 R14,机械液压助力,5.3,北京现代,1.4L 107马力 L4,0.0,手动,0.0,5档手动变速箱(MT),鼓式,扭力梁式非独立悬架,无,标配/标配,标配,175/70 R14,0.0,0.0,无,0.0,无,0.0,现代瑞奕 2014款 1.4L 手动GLX,无,无,国四,国四,1.4,1060,8.7,无,135,107.0,3500元（车价x4%，最低3500元） ,0.0,2014款,L4,0.0,1.0,0.0,0.0,汽油,92号,无,标配,无,标配,小型车,0.0,无,无,375-12,标配,现代瑞奕,无,5门5座两厢车,2570,自然吸气,2.0,4120/1700/1460,标配,0.0,,-,0.0
594,无,xa,0.410989010989,13.63,-0.359878363656,4.08333333333,西安,2013-05,正常/正常,0.0,0.0,直喷,无,标配,标配,无,13.63万公里,0.0,通风盘式,正常/无,正常/正常,无/无,标配,麦弗逊式独立悬架,205/55 R16,电动助力,7.48,上汽大众,1.4T 131马力 L4,0.0,手动,0.0,5档手动变速箱(MT),盘式,四连杆独立悬架,标配,标配/标配,标配,205/55 R16,0.0,0.0,无,0.0,无,0.0,大众途安 2013款 1.4T 手动舒适版5座,无,标配,国四,国四,1.4,1520,18.2,无,220,131.0,3500元（车价x4%，最低3500元） ,0.0,2013款,L4,0.0,8.0,0.0,0.0,汽油,95号,无,标配,标配,标配,MPV,0.0,标配,无,620-19,标配,大众途安,标配,5门5座MPV,2678,涡轮增压,2.0,4395/1794/1658,标配,0.0,,-,0.0
595,加装,xa,0.457746478873,13.3,-0.169418151958,4.41666666667,西安,2013-01,正常/正常,0.0,0.0,多点电喷,加装,无,标配,无,13.3万公里,0.0,通风盘式,正常/无,无/无,无/无,无,麦弗逊式独立悬架,205/60 R16,机械液压助力,6.5,长安福特,1.6L 125马力 L4,0.0,自动,0.0,6档双离合变速箱(DCT),盘式,多连杆独立悬架,无,标配/标配,标配,205/60 R16,1.0,0.0,无,0.0,无,0.0,福特福克斯 2012款 三厢 1.6L 自动舒适型,无,无,国四,国四,1.6,1338,14.2,无,159,125.0,3500元（车价x4%，最低3500元） ,0.0,2012款,L4,0.0,5.0,0.0,0.0,汽油,92号,无,无,加装,标配,紧凑型车,0.0,无,无,530,标配,福特福克斯,标配,4门5座三厢车,2648,自然吸气,5.0,4534/1823/1483,标配,0.0,,-,0.0
